
16,Steam Deck,"Immerse yourself in PC gaming wherever you go with the Steam Deck, featuring a powerful custom APU developed with AMD, a 7-inch touchscreen display, and full compatibility with your Steam library.",20000.00,,console
17,PlayStation®5 Slim,"Experience the power of the PlayStation®5 in a sleeker, more compact design with the PlayStation®5 Slim, offering lightning-fast loading, immersive gameplay features, and a wide range of next-gen titles.",22000.00,,console
18,Nintendo Switch Lite,"Enjoy the handheld gaming experience with the Nintendo Switch Lite, a dedicated portable gaming device that's lightweight, compact, and perfect for gaming on the move, featuring a vibrant 5.5-inch display.",10000.00,,console
19,Xiaomi Redmi Pad 10.5 inch,"The Redmi Pad 10.5 features a 10.5-inch display with a high-resolution screen, providing sharp visuals and ample screen real estate for multimedia consumption, productivity tasks, and gaming.",4990.00,,tablet
20,xiaomi A9 Galaxy Tab Lite,Introducing the Xiaomi A9 Galaxy Tab Lite! This revolutionary tablet combines the best of Xiaomi's cutting-edge technology with the iconic Galaxy branding from Samsung.,4399.00,,tablet
21,xiaomi tablet pad 6 por,"Boasting a sleek and ergonomic design, the Tablet Pad 6 Por features a large 10.5-inch AMOLED display with stunning 4K resolution. Whether you're watching movies, browsing the web, or creating digital art, every detail comes to life with vibrant colors and sharp clarity.",2590.00,,tablet
22,XIAOMI REDMI MI PAD,"Featuring a sleek and lightweight design, the Redmi Mi Pad Tab boasts a stunning 10.1-inch IPS LCD display with vivid colors and crisp details, perfect for watching movies, playing games, or browsing the web.",4999.00,,tablet
23,Apple 10.9-inch iPad Air Wi-Fi (5th Generation),"With a powerful M1 chip, a stunning 10.9-inch Liquid Retina display, and a sleek new design, the iPad Air is the perfect way to get creative, stay productive, and connect with the people you love.",50490.00,,tablet
24,"Apple iPad Air Wi-Fi + Cellular (5th Gen, 2022)","The Apple iPad Air Wi-Fi + Cellular (5th Gen, 2022) is a powerful and versatile tablet that offers a blend of performance, portability, and connectivity.",47690.00,,tablet
25,Alienware Area 51,"Immerse yourself in ultimate gaming performance with the Alienware Area 51, featuring cutting-edge hardware, innovative cooling systems, and customizable lighting effects for a truly immersive gaming experience.",150000.00,,PC
26,ROG STRIX G35CA,"Dominate the gaming arena with the ROG Strix G35CA, equipped with powerful hardware including the latest Intel Core i7 processor, NVIDIA GeForce RTX graphics, and high-speed DDR4 memory.",170000.00,,PC
27,ROG NUC,"Experience uncompromising gaming performance with the ROG NUC, powered by Intel Core processors and featuring NVIDIA GeForce graphics. Despite its compact size, it delivers impressive power for smooth gaming and multitasking. With customizable Aura Sync lighting and versatile connectivity options, it's perfect for gamers who need portability without sacrificing performance.",60000.00,,PC
28,ROG Strix GA15 G15,"Elevate your gaming experience with the ROG Strix GA15 G15, featuring a potent combination of AMD Ryzen processors and NVIDIA GeForce graphics, ensuring smooth gameplay and stunning visuals for the latest AAA titles. Its sleek chassis, customizable Aura Sync lighting, and ample connectivity options make it a versatile and stylish addition to any gaming setup.",80000.00,,PC
29,Alienware Aurora R15,The Alienware Aurora R15 is a powerful prebuilt gaming PC packed with the latest components that performs and cools better than its predecessors.,145156.00,,PC
30,Corsair Vengeance i7500,"Our review system, with an Intel Core i9-14900K and Nvidia GeForce RTX 4090 from Palit, offered top-notch performance. And while it's pricey at that configuration, the system is backed by a two-year warranty, rather than the one-year system you see on many prebuilt systems in big box stores.",100000.00,,PC
